{'t': 244000, 'eps': 0.7682, 'loss': 29.625809, 'buf_n': 244000, 'cum_reward': None}
{'t': 245000, 'eps': 0.76725, 'loss': 73.135155, 'buf_n': 245000, 'cum_reward': None}
{'t': 246000, 'eps': 0.7663, 'loss': 66.36965, 'buf_n': 246000, 'cum_reward': None}
{'t': 247000, 'eps': 0.76535, 'loss': 32.41182, 'buf_n': 247000, 'cum_reward': None}
{'t': 248000, 'eps': 0.7644, 'loss': 71.66376, 'buf_n': 248000, 'cum_reward': None}
{'t': 249000, 'eps': 0.76345, 'loss': 28.13286, 'buf_n': 249000, 'cum_reward': None}
{'t': 250000, 'eps': 0.7625, 'loss': 28.41058, 'buf_n': 250000, 'cum_reward': None}
{'t': 251000, 'eps': 0.76155, 'loss': 31.940765, 'buf_n': 251000, 'cum_reward': None}
{'t': 252000, 'eps': 0.7605999999999999, 'loss': 46.462425, 'buf_n': 252000, 'cum_reward': None}
{'t': 253000, 'eps': 0.75965, 'loss': 24.444796, 'buf_n': 253000, 'cum_reward': None}
{'t': 254000, 'eps': 0.7587, 'loss': 54.37362, 'buf_n': 254000, 'cum_reward': None}
{'t': 255000, 'eps': 0.75775, 'loss': 42.89798, 'buf_n': 255000, 'cum_reward': None}
{'t': 256000, 'eps': 0.7568, 'loss': 28.111813, 'buf_n': 256000, 'cum_reward': None}
{'t': 257000, 'eps': 0.75585, 'loss': 13.445515, 'buf_n': 257000, 'cum_reward': None}
{'t': 258000, 'eps': 0.7549, 'loss': 77.259026, 'buf_n': 258000, 'cum_reward': None}
{'t': 259000, 'eps': 0.75395, 'loss': 44.271904, 'buf_n': 259000, 'cum_reward': None}
{'t': 260000, 'eps': 0.753, 'loss': 28.98975, 'buf_n': 260000, 'cum_reward': None}
{'t': 261000, 'eps': 0.75205, 'loss': 92.12639, 'buf_n': 261000, 'cum_reward': None}
{'t': 262000, 'eps': 0.7511, 'loss': 69.04299, 'buf_n': 262000, 'cum_reward': None}
{'t': 263000, 'eps': 0.75015, 'loss': 43.406113, 'buf_n': 263000, 'cum_reward': None}
{'t': 264000, 'eps': 0.7492, 'loss': 62.21393, 'buf_n': 264000, 'cum_reward': None}
{'t': 265000, 'eps': 0.7482500000000001, 'loss': 27.65755, 'buf_n': 265000, 'cum_reward': None}
{'t': 266000, 'eps': 0.7473000000000001, 'loss': 55.19438, 'buf_n': 266000, 'cum_reward': None}
{'t': 267000, 'eps': 0.7463500000000001, 'loss': 18.663986, 'buf_n': 267000, 'cum_reward': None}
{'t': 268000, 'eps': 0.7454000000000001, 'loss': 27.8614, 'buf_n': 268000, 'cum_reward': None}
{'t': 269000, 'eps': 0.7444500000000001, 'loss': 23.903584, 'buf_n': 269000, 'cum_reward': None}
