{'t': 681863, 'cum_reward': 1517.0}
{'t': 683064, 'cum_reward': 2647.0}
{'t': 684076, 'cum_reward': 1660.0}
{'t': 684710, 'cum_reward': 1562.0}
{'t': 685623, 'cum_reward': 1970.0}
{'t': 685897, 'cum_reward': 1024.0}
{'t': 686795, 'cum_reward': 1725.0}
{'t': 689795, 'cum_reward': 2489.0}
{'t': 690132, 'cum_reward': 1201.0}
{'t': 690351, 'cum_reward': 1036.0}
{'t': 691238, 'cum_reward': 1632.0}
{'t': 691679, 'cum_reward': 1455.0}
{'t': 692540, 'cum_reward': 2103.0}
{'t': 692889, 'cum_reward': 1031.0}
{'t': 693035, 'cum_reward': 681.0}
{'t': 693573, 'cum_reward': 2115.0}
{'t': 694171, 'cum_reward': 1466.0}
{'t': 694873, 'cum_reward': 1175.0}
{'t': 696158, 'cum_reward': 2335.0}
{'t': 697505, 'cum_reward': 1844.0}
{'t': 698493, 'cum_reward': 1788.0}
{'t': 699961, 'cum_reward': 967.0}
{'t': 701085, 'cum_reward': 1746.0}
{'t': 702338, 'cum_reward': 2998.0}
{'t': 703249, 'cum_reward': 1323.0}
{'t': 705515, 'cum_reward': 2108.0}
{'t': 706061, 'cum_reward': 1408.0}
{'t': 707148, 'cum_reward': 1298.0}
{'t': 707501, 'cum_reward': 1376.0}
{'t': 708359, 'cum_reward': 1015.0}
{'t': 708714, 'cum_reward': 1029.0}
{'t': 708978, 'cum_reward': 1196.0}
{'t': 709328, 'cum_reward': 1405.0}
{'t': 709736, 'cum_reward': 1127.0}
{'t': 710044, 'cum_reward': 981.0}
{'t': 711139, 'cum_reward': 2005.0}
{'t': 711877, 'cum_reward': 2214.0}
{'t': 713463, 'cum_reward': 1752.0}
{'t': 713660, 'cum_reward': 1060.0}
{'t': 714464, 'cum_reward': 2427.0}
{'t': 715536, 'cum_reward': 1950.0}
{'t': 716212, 'cum_reward': 1578.0}
{'t': 717328, 'cum_reward': 2137.0}
{'t': 718792, 'cum_reward': 2187.0}
{'t': 720621, 'cum_reward': 3239.0}
{'t': 720914, 'cum_reward': 1189.0}
{'t': 722571, 'cum_reward': 2444.0}
{'t': 723369, 'cum_reward': 1957.0}
{'t': 724003, 'cum_reward': 1571.0}
{'t': 724373, 'cum_reward': 1114.0}
{'t': 725159, 'cum_reward': 1534.0}
{'t': 728445, 'cum_reward': 3137.0}
{'t': 729744, 'cum_reward': 2112.0}
{'t': 730570, 'cum_reward': 2019.0}
{'t': 731511, 'cum_reward': 1831.0}
{'t': 731904, 'cum_reward': 1061.0}
{'t': 732824, 'cum_reward': 2088.0}
{'t': 733182, 'cum_reward': 1389.0}
{'t': 734418, 'cum_reward': 1951.0}
{'t': 735741, 'cum_reward': 2056.0}
{'t': 736482, 'cum_reward': 1888.0}
{'t': 737100, 'cum_reward': 1773.0}
{'t': 738223, 'cum_reward': 1293.0}
{'t': 739536, 'cum_reward': 2501.0}
{'t': 740085, 'cum_reward': 1731.0}
{'t': 740690, 'cum_reward': 1949.0}
{'t': 742238, 'cum_reward': 2012.0}
{'t': 743039, 'cum_reward': 1464.0}
{'t': 743404, 'cum_reward': 1480.0}
{'t': 744431, 'cum_reward': 1392.0}
{'t': 745304, 'cum_reward': 1410.0}
{'t': 745533, 'cum_reward': 1027.0}
{'t': 746239, 'cum_reward': 2037.0}
{'t': 746994, 'cum_reward': 1527.0}
{'t': 747547, 'cum_reward': 1824.0}
{'t': 748131, 'cum_reward': 1094.0}
{'t': 749325, 'cum_reward': 1475.0}
{'t': 750350, 'cum_reward': 1086.0}
{'t': 750996, 'cum_reward': 2712.0}
{'t': 751717, 'cum_reward': 1552.0}
{'t': 752208, 'cum_reward': 1604.0}
{'t': 753880, 'cum_reward': 2001.0}
{'t': 756695, 'cum_reward': 2330.0}
{'t': 756813, 'cum_reward': 692.0}
{'t': 756980, 'cum_reward': 1022.0}
{'t': 757246, 'cum_reward': 1092.0}
{'t': 758367, 'cum_reward': 1650.0}
{'t': 759012, 'cum_reward': 1993.0}
{'t': 759750, 'cum_reward': 2218.0}
{'t': 759894, 'cum_reward': 680.0}
{'t': 760898, 'cum_reward': 2368.0}
{'t': 761272, 'cum_reward': 1185.0}
{'t': 762006, 'cum_reward': 2227.0}
{'t': 762401, 'cum_reward': 1561.0}
{'t': 763006, 'cum_reward': 1193.0}
{'t': 763343, 'cum_reward': 1416.0}
{'t': 763898, 'cum_reward': 2223.0}
{'t': 764411, 'cum_reward': 2040.0}
{'t': 764911, 'cum_reward': 1378.0}
{'t': 765608, 'cum_reward': 1817.0}
{'t': 765952, 'cum_reward': 1265.0}
{'t': 766850, 'cum_reward': 1948.0}
{'t': 767558, 'cum_reward': 1910.0}
{'t': 768002, 'cum_reward': 1749.0}
{'t': 768853, 'cum_reward': 1321.0}
{'t': 769568, 'cum_reward': 2021.0}
{'t': 769743, 'cum_reward': 1089.0}
{'t': 770698, 'cum_reward': 2041.0}
{'t': 771191, 'cum_reward': 1429.0}
{'t': 771710, 'cum_reward': 1574.0}
{'t': 772136, 'cum_reward': 1141.0}
{'t': 772562, 'cum_reward': 1386.0}
{'t': 772824, 'cum_reward': 1213.0}
{'t': 773576, 'cum_reward': 1137.0}
{'t': 775158, 'cum_reward': 1813.0}
{'t': 775771, 'cum_reward': 1910.0}
{'t': 775896, 'cum_reward': 695.0}
{'t': 776149, 'cum_reward': 1043.0}
{'t': 776410, 'cum_reward': 1038.0}
{'t': 776885, 'cum_reward': 1565.0}
{'t': 777363, 'cum_reward': 1184.0}
{'t': 778015, 'cum_reward': 1772.0}
{'t': 778477, 'cum_reward': 1700.0}
{'t': 779024, 'cum_reward': 1682.0}
{'t': 779366, 'cum_reward': 1565.0}
{'t': 780643, 'cum_reward': 2530.0}
{'t': 780953, 'cum_reward': 1200.0}
{'t': 781201, 'cum_reward': 1450.0}
{'t': 781544, 'cum_reward': 1437.0}
{'t': 781685, 'cum_reward': 632.0}
{'t': 782027, 'cum_reward': 1478.0}
{'t': 782211, 'cum_reward': 1073.0}
{'t': 782414, 'cum_reward': 1060.0}
{'t': 783018, 'cum_reward': 1800.0}
{'t': 783369, 'cum_reward': 1457.0}
{'t': 784266, 'cum_reward': 2023.0}
{'t': 785402, 'cum_reward': 1819.0}
{'t': 788299, 'cum_reward': 2094.0}
{'t': 788756, 'cum_reward': 1558.0}
{'t': 789881, 'cum_reward': 1972.0}
{'t': 790554, 'cum_reward': 2226.0}
{'t': 790845, 'cum_reward': 1273.0}
{'t': 791086, 'cum_reward': 1098.0}
{'t': 791669, 'cum_reward': 1776.0}
{'t': 792414, 'cum_reward': 1171.0}
{'t': 792847, 'cum_reward': 1609.0}
{'t': 793378, 'cum_reward': 1812.0}
{'t': 793667, 'cum_reward': 1017.0}
{'t': 794742, 'cum_reward': 2760.0}
{'t': 795417, 'cum_reward': 2356.0}
{'t': 795831, 'cum_reward': 1444.0}
{'t': 796506, 'cum_reward': 1924.0}
{'t': 797089, 'cum_reward': 2196.0}
{'t': 797300, 'cum_reward': 1052.0}
{'t': 798225, 'cum_reward': 1960.0}
{'t': 799284, 'cum_reward': 2291.0}
{'t': 799797, 'cum_reward': 1486.0}
{'t': 800139, 'cum_reward': 1435.0}
{'t': 801474, 'cum_reward': 2305.0}
{'t': 802105, 'cum_reward': 1780.0}
{'t': 802740, 'cum_reward': 2066.0}
{'t': 803342, 'cum_reward': 1827.0}
{'t': 804582, 'cum_reward': 2979.0}
{'t': 805467, 'cum_reward': 2148.0}
{'t': 805632, 'cum_reward': 1108.0}
{'t': 806308, 'cum_reward': 2657.0}
{'t': 806864, 'cum_reward': 1642.0}
{'t': 807835, 'cum_reward': 2003.0}
{'t': 808185, 'cum_reward': 1121.0}
{'t': 808725, 'cum_reward': 1828.0}
{'t': 809269, 'cum_reward': 1579.0}
{'t': 809755, 'cum_reward': 1470.0}
{'t': 810143, 'cum_reward': 1392.0}
{'t': 810735, 'cum_reward': 1591.0}
{'t': 811046, 'cum_reward': 1113.0}
{'t': 811338, 'cum_reward': 1541.0}
{'t': 812033, 'cum_reward': 1685.0}
{'t': 812880, 'cum_reward': 1952.0}
{'t': 813523, 'cum_reward': 1205.0}
{'t': 813806, 'cum_reward': 1450.0}
{'t': 814489, 'cum_reward': 2113.0}
{'t': 814879, 'cum_reward': 1577.0}
{'t': 815345, 'cum_reward': 1993.0}
{'t': 816048, 'cum_reward': 2657.0}
{'t': 816666, 'cum_reward': 1533.0}
{'t': 817157, 'cum_reward': 1894.0}
{'t': 817556, 'cum_reward': 1379.0}
{'t': 818771, 'cum_reward': 2780.0}
{'t': 819305, 'cum_reward': 1543.0}
{'t': 819927, 'cum_reward': 1143.0}
{'t': 820126, 'cum_reward': 1041.0}
{'t': 820888, 'cum_reward': 1998.0}
{'t': 822069, 'cum_reward': 2536.0}
{'t': 822719, 'cum_reward': 1981.0}
{'t': 823295, 'cum_reward': 1885.0}
{'t': 824212, 'cum_reward': 2192.0}
{'t': 824810, 'cum_reward': 2220.0}
{'t': 825149, 'cum_reward': 1419.0}
{'t': 825523, 'cum_reward': 1497.0}
{'t': 826370, 'cum_reward': 2161.0}
{'t': 827430, 'cum_reward': 2226.0}
{'t': 827844, 'cum_reward': 1609.0}
{'t': 828204, 'cum_reward': 1259.0}
{'t': 829161, 'cum_reward': 2529.0}
{'t': 830066, 'cum_reward': 2338.0}
{'t': 830281, 'cum_reward': 1039.0}
{'t': 830772, 'cum_reward': 1625.0}
{'t': 831689, 'cum_reward': 2273.0}
{'t': 832296, 'cum_reward': 1757.0}
{'t': 832916, 'cum_reward': 1904.0}
{'t': 833560, 'cum_reward': 1814.0}
{'t': 834259, 'cum_reward': 2231.0}
{'t': 834778, 'cum_reward': 1971.0}
{'t': 836026, 'cum_reward': 2741.0}
{'t': 838683, 'cum_reward': 1934.0}
{'t': 839619, 'cum_reward': 1897.0}
{'t': 840250, 'cum_reward': 1724.0}
{'t': 841209, 'cum_reward': 1974.0}
{'t': 841738, 'cum_reward': 1540.0}
{'t': 842057, 'cum_reward': 1481.0}
{'t': 844614, 'cum_reward': 2470.0}
{'t': 844965, 'cum_reward': 1830.0}
{'t': 845664, 'cum_reward': 2237.0}
{'t': 846480, 'cum_reward': 1927.0}
{'t': 847307, 'cum_reward': 2359.0}
{'t': 847963, 'cum_reward': 2228.0}
{'t': 848239, 'cum_reward': 1443.0}
{'t': 848822, 'cum_reward': 1983.0}
{'t': 849058, 'cum_reward': 1191.0}
{'t': 849533, 'cum_reward': 2054.0}
{'t': 850029, 'cum_reward': 1527.0}
{'t': 850497, 'cum_reward': 1575.0}
{'t': 851047, 'cum_reward': 1699.0}
{'t': 851575, 'cum_reward': 1992.0}
{'t': 852166, 'cum_reward': 1929.0}
{'t': 852847, 'cum_reward': 2028.0}
{'t': 853245, 'cum_reward': 1454.0}
{'t': 853826, 'cum_reward': 2232.0}
{'t': 854235, 'cum_reward': 1455.0}
{'t': 854701, 'cum_reward': 1540.0}
{'t': 855755, 'cum_reward': 2198.0}
